ï»¿Locality,References,log fO2 (dFMQ),log fO2 (dFMQ)_1std,Analysis,Method,Remarks 1,U-Pb Age,Ti-in-zirc Temp C,P,Ti,Y,Nb,Hf,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,log fO2 (dFMQ).1,log fO2 (dFMQ)_1std.1,Th/U
"Torfajokull silicic stratovolcano,  SE Iceland","Carley, T.L., 2010",0.3,0.2,3A03TE-18.1I,SHRIMP-RG,,0,,6.57264116087878,2.833213344056216,7.9617188159813645,3.1484533605716547,9.04981944514108,5.168208681201016,5.333684510385328,-3.2188758248682006,3.4836986031738992,0.12705137082948292,0.9555114450274363,1.589235205116581,0.1823215567939546,3.763522997109702,2.7013612129514133,5.105339229565553,4.141546163706395,5.59508305773286,3.9721769282478934,6.030204375423913,4.247065649239764,0.3,0.2,0.8474903474903475
West Yellowstone rhyolite lava flow,"Stelten et al, 2013",0.11,0.1,YCV09_r11g1s1,Cameca ims 1270 ion probe,,0.15,,6.248797021577637,1.8562979903656263,8.092239406724211,1.1221762430530269,9.311994025702683,5.44673737166631,6.07073772800249,-2.4079456086518722,3.353406717825807,-0.7339691750802004,1.840549633397487,2.4069451083182885,-0.7765287894989963,4.143134726391533,3.2188758248682006,5.68697535633982,4.736198448394496,6.182084906716632,4.564348191467836,6.673297967767654,5.056245805348308,0.11,0.1,0.535796766743649
West Yellowstone rhyolite lava flow,"Stelten et al, 2013",0.11,0.1,YCV09_r8g6s1,Cameca ims 1270 ion probe,,0.15,,6.173861062394929,1.9315214116032138,7.466799475018602,1.444802053389469,9.310366686043308,5.429345628954441,5.983936280687191,-3.2188758248682006,3.3178157727231046,-1.5141277326297755,0.9555114450274363,1.6486586255873816,-1.2729656758128873,3.4965075614664802,2.5649493574615367,5.0238805208462765,4.110873864173311,5.560681631015528,3.970291913552122,6.102558594613569,4.499809670330265,0.11,0.1,0.5743073047858942
West Yellowstone rhyolite lava flow,"Stelten et al, 2013",0.11,0.1,YCV09_r8g4s1,Cameca ims 1270 ion probe,,0.15,,6.096448017030674,1.791759469228055,7.412160334945205,0.9550764995800771,9.308646060760307,5.017279836814924,5.768320995793772,-1.5606477482646683,3.2733640101522705,-1.4271163556401458,1.0647107369924282,1.62924053973028,-1.5141277326297755,3.4011973816621555,2.4849066497880004,4.9344739331306915,4.04305126783455,5.501258210544727,3.9318256327243257,6.052089168924417,4.454347296253507,0.11,0.1,0.471875
West Yellowstone rhyolite lava flow,"Stelten et al, 2013",0.11,0.1,YCV09BG_r3g10s2c,Cameca ims 1270 ion probe,,0.15,,5.350928528775636,1.840549633397487,8.179199798423086,0.7940358213634583,9.400630098419315,4.890349128221754,5.5254529391317835,-0.9942522733438669,4.115779842942166,-0.8675005677047231,1.5040773967762742,2.2300144001592104,-0.7985076962177716,4.02535169073515,3.1780538303479458,5.69035945432406,4.787491742782046,6.269096283706261,4.709530201312334,6.823286122355687,5.209486152841421,0.11,0.1,0.5298804780876494
West Yellowstone rhyolite lava flow,"Stelten et al, 2013",0.11,0.1,YCV09BG_r3g10s3r,Cameca ims 1270 ion probe,,0.15,,5.643050892648452,1.791759469228055,7.280008252884188,-0.4030543548177905,9.306195857619704,6.003887067106539,6.361302477572996,-3.506557897319982,3.169685580677429,-2.120263536200091,0.47000362924573563,1.308332819650179,-1.7719568419318752,3.2188758248682006,2.302585092994046,4.812184355372417,3.871201010907891,5.3612921657094255,3.8066624897703196,5.937536205082426,4.356708826689592,0.11,0.1,0.6994818652849741
West Yellowstone rhyolite lava flow,"Stelten et al, 2013",0.11,0.1,YCV09BG_r3g8s1,Cameca ims 1270 ion probe,,0.15,,5.407932798934973,2.0149030205422647,7.480992162869525,0.3411811134450774,9.315600882633676,6.261491684321042,6.579251212010101,-3.506557897319982,3.4404180948154366,-1.9661128563728327,0.7884573603642703,1.62924053973028,-1.3470736479666092,3.4339872044851463,2.4849066497880004,5.003946305945459,4.07753744390572,5.560681631015528,4.007333185232471,6.133398042996649,4.553876891600541,0.11,0.1,0.7277777777777777
West Yellowstone rhyolite lava flow,"Stelten et al, 2013",0.11,0.1,YCV09BG_r3g7s1r,Cameca ims 1270 ion probe,,0.15,,5.224092833457589,1.916922612182061,7.796057974316123,0.4569186910157905,9.306286713023391,5.351858133476067,5.6937321388027,-2.995732273553991,3.629660094453965,-1.2378743560016174,1.547562508716013,2.2407096892759584,-0.616186139423817,3.8918202981106265,2.8903717578961645,5.3706380281276624,4.418840607796598,5.8664680569332965,4.290459441148391,6.380122536899765,4.787491742782046,0.11,0.1,0.7104377104377104
West Yellowstone rhyolite lava flow,"Stelten et al, 2013",0.11,0.1,YCV09BG_r3g5s1c,Cameca ims 1270 ion probe,,0.15,,5.264932236664144,1.7749523509116738,7.45182223652793,0.5981070590939105,9.323490469908839,5.697093486505405,6.12029741895095,-3.912023005428146,3.299533727885655,-1.7719568419318752,0.9162907318741551,1.667706820558076,-1.3470736479666092,3.4339872044851463,2.4849066497880004,4.990432586778736,4.07753744390572,5.537334267018537,3.970291913552122,6.102558594613569,4.51085950651685,0.11,0.1,0.654945054945055
West Yellowstone rhyolite lava flow,"Stelten et al, 2013",0.11,0.1,YCV09BG_r3g4s1c,Cameca ims 1270 ion probe,,0.15,,6.12662125190584,1.7578579175523736,7.753623546559746,1.202495599437182,9.373988663504516,5.420534999272286,5.869296913133774,-2.5257286443082556,3.414442608412176,-1.7719568419318752,0.9162907318741551,1.7578579175523736,-0.7133498878774648,3.6109179126442243,2.70805020110221,5.236441962829949,4.356708826689592,5.846438775057725,4.30406509320417,6.448889394146858,4.867534450455582,0.11,0.1,0.6384180790960452
West Yellowstone rhyolite lava flow,"Stelten et al, 2013",0.11,0.1,YCV09BG_r3g4s2r,Cameca ims 1270 ion probe,,0.15,,5.93752262030758,1.5686159179138452,7.735870319952567,-0.22726604681706086,9.331938343723671,5.723585101952381,6.12029741895095,-1.4696759700589417,3.288401887516811,-1.4696759700589417,1.1939224684724346,1.9600947840472698,-0.8675005677047231,3.8066624897703196,2.833213344056216,5.298317366548036,4.356708826689592,5.796057750765372,4.219507705176107,6.311734809152915,4.709530201312334,0.11,0.1,0.6725274725274726
West Yellowstone rhyolite lava flow,"Stelten et al, 2013",0.11,0.1,YCV09BG_r3g3s1r,Cameca ims 1270 ion probe,,0.15,,5.659888187780091,1.9459101490553132,6.705639094860003,0.6663810258009129,9.209540051805414,4.382026634673881,5.030437921392435,-4.605170185988091,2.580216829592325,-2.8134107167600364,0.0,0.7419373447293773,-1.6607312068216509,2.70805020110221,1.791759469228055,4.23410650459726,3.332204510175204,4.795790545596741,3.2188758248682006,5.351858133476067,3.784189633918261,0.11,0.1,0.5228758169934641
